CO,NO2,Humidity,PM2.5,Label
2.0,106.0,-200.0,63.0,Amber
1.0,83.0,-200.0,46.5,Amber
1.0,-200.0,-200.0,-95.0,Green
1.0,79.0,-200.0,44.5,Amber
3.0,127.0,-200.0,78.5,Amber
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
1.0,63.0,-200.0,36.5,Amber
1.0,60.0,-200.0,35.0,Amber
-200.0,62.0,-200.0,-969.0,Amber
1.0,60.0,-200.0,35.0,Amber
1.0,66.0,-200.0,38.0,Amber
1.0,59.0,-200.0,34.5,Amber
1.0,59.0,-200.0,34.5,Amber
3.0,99.0,-200.0,64.5,Amber
-200.0,158.0,-200.0,-921.0,Amber
1.0,59.0,-200.0,34.5,Amber
1.0,60.0,-200.0,35.0,Amber
1.0,68.0,-200.0,39.0,Amber
1.0,67.0,-200.0,38.5,Amber
2.0,104.0,-200.0,62.0,Amber
2.0,107.0,-200.0,63.5,Amber
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
-200.0,-200.0,-200.0,-1100.0,Green
1.0,82.0,-200.0,46.0,Amber
4.0,169.0,-200.0,104.5,Red
4.0,183.0,-200.0,111.5,Red
2.0,100.0,-200.0,60.0,Amber
-200.0,81.0,-200.0,-959.5,Amber
1.0,74.0,-200.0,42.0,Amber
1.0,81.0,-200.0,45.5,Amber
2.0,111.0,-200.0,65.5,Amber
5.0,164.0,-200.0,107.0,Red
-200.0,121.0,-200.0,-939.5,Amber
