PM2.5,NO2,CO,Humidity,Label
168.6,71.02,2.56,42.25,Red
103.98,58.61,3.43,52.46,Red
126.29,91.44,5.11,68.48,Red
112.87,142.13,0.16,60.69,Red
11.89,38.33,3.95,41.07,Red
35.98,122.71,1.41,45.38,Red
67.26,33.94,4.18,56.4,Red
32.85,95.9,4.32,70.66,Red
88.76,16.93,0.11,70.52,Red
179.26,97.62,5.14,29.76,Red
139.7,63.31,2.44,67.6,Red
172.23,19.45,0.47,48.62,Red
113.44,86.25,2.65,47.23,Red
119.09,18.9,3.57,60.42,Red
76.93,89.34,1.59,27.14,Red
82.81,18.92,3.06,41.2,Red
177.08,64.26,5.35,69.41,Red
103.65,113.34,2.62,68.77,Red
135.72,17.8,4.57,34.48,Red
98.85,69.84,3.81,45.55,Red
110.33,54.49,0.75,63.62,Red
142.82,133.2,5.35,74.93,Red
153.25,63.42,4.43,35.7,Red
24.44,125.13,4.21,62.92,Red
17.09,39.65,5.41,89.59,Red
79.31,42.69,2.39,30.37,Red
80.33,110.66,3.36,31.0,Red
102.1,129.47,1.67,45.33,Red
40.03,20.87,3.55,25.35,Red
96.76,90.66,1.38,27.4,Red
120.37,30.6,0.13,65.31,Red
93.32,49.11,5.46,40.38,Red
63.78,70.13,3.63,43.05,Red
82.98,53.16,4.53,45.51,Red
173.75,95.78,4.01,52.34,Red
33.28,67.71,3.52,31.32,Red
92.21,119.5,3.53,71.33,Red
115.48,89.42,4.91,73.07,Red
126.35,113.49,4.4,72.15,Red
10.51,112.24,3.14,89.99,Red
9.61,92.03,3.35,28.67,Red
47.44,110.07,5.02,50.35,Red
40.84,137.9,2.75,31.33,Red
174.89,137.54,0.12,94.11,Red
51.66,109.91,3.84,47.97,Red
23.27,108.03,4.79,71.62,Red
9.26,143.37,4.6,42.35,Red
129.29,109.14,1.62,85.96,Red
52.85,93.07,5.26,61.63,Red
179.97,88.0,4.87,55.0,Red
50.73,54.3,1.17,50.23,Amber
120.17,78.45,2.3,60.78,Red
127.57,119.02,2.78,32.72,Red
152.71,101.67,4.66,25.93,Red
160.13,23.04,4.06,52.01,Red
12.58,134.71,0.4,86.12,Red
122.55,66.66,0.31,66.24,Red
67.6,146.24,5.39,59.05,Red
145.13,111.21,0.61,54.08,Red
84.43,96.21,1.79,25.61,Red
114.53,49.38,2.87,49.14,Red
12.23,104.55,5.45,47.88,Red
98.16,24.29,4.61,78.91,Red
115.67,65.22,4.93,33.6,Red
141.93,92.65,1.73,69.51,Red
168.9,32.01,1.68,91.63,Red
177.42,65.6,2.86,64.39,Red
156.73,42.66,5.4,50.17,Red
23.27,34.86,1.57,77.24,Amber
94.15,21.9,4.68,90.24,Red
11.14,114.12,0.3,52.85,Red
172.96,27.89,5.01,82.45,Red
7.61,13.85,2.49,56.35,Amber
120.93,78.42,5.16,43.92,Red
115.67,118.25,3.0,42.38,Red
107.03,21.29,3.48,68.7,Red
104.29,41.65,0.9,85.31,Red
92.06,116.47,1.35,48.15,Red
170.18,123.81,1.74,35.29,Red
138.23,66.39,3.37,90.35,Red
15.92,125.11,3.45,92.74,Red
125.29,82.37,4.82,57.82,Red
58.14,25.11,0.18,84.83,Amber
134.38,97.3,4.34,69.98,Red
109.96,34.04,3.67,74.03,Red
9.45,108.53,3.01,66.77,Red
32.47,114.64,1.91,37.86,Red
85.34,19.65,4.48,26.2,Red
153.48,79.51,3.94,33.3,Red
99.95,65.47,5.07,69.8,Red
106.59,117.96,2.92,75.67,Red
131.28,16.9,5.03,83.43,Red
132.71,13.65,2.65,45.58,Red
123.26,84.58,3.28,65.81,Red
150.53,42.61,4.87,27.18,Red
139.66,43.68,3.7,45.94,Red
67.67,55.63,5.06,55.23,Red
12.09,127.37,0.89,52.53,Red
158.2,125.75,2.98,39.33,Red
86.04,115.42,2.39,83.6,Red
6.17,12.27,0.81,70.56,Green
31.74,132.13,5.17,32.45,Red
106.75,120.11,4.6,60.66,Red
165.61,83.62,2.45,49.27,Red
54.17,92.68,3.09,83.17,Red
82.03,10.24,4.45,26.88,Red
157.78,82.88,4.57,38.12,Red
101.75,146.83,1.53,59.1,Red
131.74,75.92,0.25,45.25,Red
93.77,86.1,0.66,75.79,Red
