PM2.5,NO2,CO,Humidity,Label
19.41,125.2,3.63,51.37,Red
72.22,91.88,5.09,59.88,Red
46.59,48.46,1.73,62.34,Amber
168.9,39.72,0.59,49.2,Red
156.42,80.82,5.38,76.23,Red
146.79,39.72,3.08,83.85,Red
63.69,126.77,4.8,61.08,Red
21.22,110.19,3.97,68.2,Red
109.14,77.53,2.32,70.54,Red
167.36,57.72,2.46,33.92,Red
160.18,68.72,5.47,65.98,Red
139.01,128.94,4.84,54.24,Red
167.99,113.03,2.18,46.79,Red
35.02,110.3,2.34,69.58,Red
32.8,20.03,3.45,49.68,Red
77.18,23.46,4.12,30.2,Red
133.79,95.43,1.62,46.52,Red
151.13,100.47,2.88,26.08,Red
127.61,22.1,1.1,49.63,Red
159.21,50.28,2.69,52.17,Red
120.17,109.43,1.51,29.11,Red
109.94,134.07,4.17,86.72,Red
174.12,42.3,3.44,48.1,Red
94.29,90.17,4.36,30.32,Red
99.65,91.04,2.74,55.06,Red
145.34,24.06,2.96,45.98,Red
25.01,60.82,1.92,51.13,Amber
65.75,111.05,3.13,39.31,Red
28.66,30.12,2.66,51.84,Red
88.6,135.03,5.07,31.94,Red
149.15,12.62,0.52,59.3,Red
179.09,70.25,3.18,27.08,Red
78.95,108.68,0.92,37.11,Red
104.95,86.55,2.48,89.09,Red
147.93,49.58,2.99,33.44,Red
36.93,139.63,0.16,80.27,Red
160.03,106.3,3.34,37.66,Red
149.53,12.44,2.66,75.09,Red
155.44,106.78,3.41,78.37,Red
164.71,15.28,0.28,62.3,Red
67.25,69.96,3.26,84.41,Red
63.61,115.54,3.45,89.13,Red
131.95,116.84,4.86,65.05,Red
110.14,100.86,5.04,67.29,Red
109.86,48.71,3.13,35.91,Red
125.14,124.97,1.64,79.6,Red
145.52,149.9,4.45,27.12,Red
151.17,139.64,4.89,60.96,Red
141.46,40.96,5.43,32.99,Red
71.64,25.94,1.4,71.76,Amber
59.98,93.47,4.49,43.44,Red
40.81,103.21,2.0,63.2,Red
99.16,75.41,0.11,47.6,Red
133.71,56.8,2.73,45.23,Red
52.82,14.58,2.47,56.6,Amber
42.67,84.0,2.15,59.14,Red
94.35,61.23,1.13,61.78,Red
17.88,20.15,1.73,36.51,Amber
86.62,74.83,3.02,89.36,Red
70.82,80.04,2.48,38.67,Red
116.17,138.8,0.82,57.03,Red
89.66,57.31,5.03,90.76,Red
124.24,80.51,2.69,88.4,Red
171.58,118.23,1.96,66.14,Red
114.58,33.3,2.1,31.57,Red
35.76,63.63,4.51,71.91,Red
147.13,145.38,5.24,85.28,Red
34.7,106.2,2.51,88.31,Red
84.75,64.25,1.17,67.28,Red
58.6,24.57,4.23,88.98,Red
18.73,11.13,0.3,50.29,Green
9.81,64.58,3.26,65.19,Red
112.31,110.68,4.71,75.32,Red
115.0,133.22,4.25,45.08,Red
88.95,99.71,5.17,83.71,Red
164.25,99.31,2.15,72.13,Red
75.28,23.64,3.55,30.21,Red
174.33,110.85,3.27,68.45,Red
99.13,96.75,5.17,79.75,Red
68.6,18.11,1.26,26.43,Amber
172.85,33.33,5.28,46.65,Red
78.34,145.8,0.65,65.54,Red
91.84,30.51,2.88,31.58,Red
116.25,71.58,4.53,90.74,Red
71.72,139.28,3.54,76.33,Red
150.13,34.64,0.33,26.67,Red
7.49,83.95,4.4,62.85,Red
77.73,11.83,1.71,66.59,Red
8.0,14.82,2.99,92.08,Red
95.76,147.07,2.62,65.67,Red
125.65,78.0,5.42,52.55,Red
154.28,73.65,5.38,53.83,Red
